Temperature,Pressure,Humidity
24.46,989.15,56
24.46,989.16,56
24.46,989.07,56
24.48,989.1,56
24.48,989.11,56
24.49,989.18,56
24.51,989.2,56
24.49,989.11,56
24.49,989.11,56
24.49,989.15,56
24.49,989.11,56
24.49,989.11,56
24.49,989.13,56
24.49,989.17,56
24.48,989.11,56
24.48,989.12,56
24.49,989.12,56
24.49,989.15,56
24.5,989.22,56
24.49,989.09,56
24.49,989.15,56
24.51,989.2,56
24.49,989.11,56
24.49,989.13,56
24.5,989.15,56
24.49,989.16,56
24.5,989.11,56
24.53,989.15,56
24.52,989.06,56
24.54,989.17,56
24.52,989.15,56
24.51,989.14,56
24.51,989.17,56
24.51,989.15,56
24.51,989.16,56
24.51,989.18,56
24.51,989.17,56
24.52,989.16,56
24.51,989.18,56
24.51,989.17,56
24.51,989.19,56
24.49,989.14,56
24.5,989.17,56
24.51,989.21,56
24.51,989.17,56
24.52,989.17,56
24.51,989.21,56
24.52,989.16,56
24.52,989.12,56
24.52,989.16,56
24.51,989.2,56
24.5,989.18,56
24.5,989.13,56
24.51,989.14,56
24.5,989.16,56
24.49,989.18,56
24.51,989.16,56
24.51,989.18,56
24.51,989.18,56
24.51,989.2,56
24.5,989.18,56
24.49,989.18,56
24.49,989.17,56
24.5,989.23,56
24.5,989.17,56
24.51,989.23,56
24.54,989.23,56
24.51,989.16,56
24.52,989.16,56
24.52,989.17,56
24.51,989.2,56
24.49,989.1,56
24.5,989.11,56
24.5,989.13,56
24.51,989.2,56
24.49,989.14,56
24.5,989.13,56
24.51,989.19,56
24.51,989.14,56
24.52,989.15,56
24.51,989.16,56
24.49,989.21,56
24.45,989.21,56
24.44,989.22,56
24.42,989.21,56
24.41,989.25,56
24.39,989.28,56
24.37,989.26,56
24.35,989.17,56
24.33,989.18,56
24.35,989.24,56
24.32,989.21,56
24.3,989.22,56
24.29,989.22,56
24.27,989.19,56
24.26,989.21,56
24.25,989.21,56
24.24,989.26,56
24.23,989.23,56
24.22,989.25,56
24.23,989.27,55
24.2,989.21,55
24.19,989.16,55
